index,Username,attack_type
30,user_a44feb,credential_stuffing
31,user_a44feb,credential_stuffing
32,user_a44feb,bot_brute_force
33,user_a44feb,credential_stuffing
34,user_a44feb,credential_stuffing
35,user_a44feb,credential_stuffing
36,user_a44feb,credential_stuffing
39,user_a44feb,credential_stuffing
40,user_a44feb,credential_stuffing
41,user_a44feb,credential_stuffing
42,user_a44feb,credential_stuffing
43,user_a44feb,credential_stuffing
44,user_a44feb,credential_stuffing
45,user_a44feb,credential_stuffing
46,user_a44feb,credential_stuffing
47,user_a44feb,credential_stuffing
48,user_a44feb,credential_stuffing
49,user_a44feb,credential_stuffing
50,user_a44feb,credential_stuffing
51,user_a44feb,credential_stuffing
52,user_a44feb,credential_stuffing
53,user_a44feb,bot_brute_force
55,user_a44feb,credential_stuffing
56,user_a44feb,credential_stuffing
57,user_a44feb,credential_stuffing
58,user_a44feb,credential_stuffing
59,user_a44feb,credential_stuffing
60,user_a44feb,credential_stuffing
61,user_a44feb,credential_stuffing
62,user_a44feb,credential_stuffing
63,user_a44feb,credential_stuffing
64,user_a44feb,credential_stuffing
65,user_a44feb,credential_stuffing
66,user_a44feb,credential_stuffing
67,user_a44feb,credential_stuffing
68,user_a44feb,credential_stuffing
69,user_a44feb,credential_stuffing
70,user_a44feb,credential_stuffing
71,user_a44feb,credential_stuffing
72,user_a44feb,credential_stuffing
73,user_a44feb,credential_stuffing
74,user_a44feb,credential_stuffing
75,user_a44feb,credential_stuffing
76,user_a44feb,credential_stuffing
77,user_a44feb,credential_stuffing
78,user_a44feb,credential_stuffing
79,user_a44feb,credential_stuffing
80,user_a44feb,credential_stuffing
81,user_a44feb,credential_stuffing
82,user_a44feb,credential_stuffing
83,user_a44feb,credential_stuffing
84,user_a44feb,credential_stuffing
85,user_a44feb,credential_stuffing
86,user_a44feb,credential_stuffing
87,user_a44feb,credential_stuffing
88,user_a44feb,credential_stuffing
89,user_a44feb,credential_stuffing
90,user_a44feb,credential_stuffing
91,user_a44feb,credential_stuffing
92,user_a44feb,credential_stuffing
93,user_a44feb,credential_stuffing
94,user_a44feb,credential_stuffing
95,user_a44feb,credential_stuffing
96,user_a44feb,credential_stuffing
97,user_a44feb,credential_stuffing
98,user_a44feb,credential_stuffing
99,user_a44feb,credential_stuffing
518,user_fd805b,credential_stuffing
647,user_c99b98,campaign_account_legit_login
715,user_f1fca4,hard_negative_forgot_password
717,user_f1fca4,hard_negative_forgot_password
722,user_f1fca4,hard_negative_forgot_password
725,user_f1fca4,hard_negative_forgot_password
730,user_f1fca4,hard_negative_forgot_password
748,user_840bfc,campaign_account_legit_login
